Date,Open,High,Low,Close,Adj Close,Volume
1994-12-30,9.170000,9.170000,9.170000,9.170000,3.044089,0
1995-01-03,9.140000,9.140000,9.140000,9.140000,3.034131,0
1995-01-04,9.180000,9.180000,9.180000,9.180000,3.047412,0
1995-01-05,9.150000,9.150000,9.150000,9.150000,3.037450,0
1995-01-06,9.160000,9.160000,9.160000,9.160000,3.040767,0
1995-01-09,9.150000,9.150000,9.150000,9.150000,3.037450,0
1995-01-10,9.170000,9.170000,9.170000,9.170000,3.044089,0
1995-01-11,9.180000,9.180000,9.180000,9.180000,3.047412,0
1995-01-12,9.180000,9.180000,9.180000,9.180000,3.047412,0
1995-01-13,9.230000,9.230000,9.230000,9.230000,3.064008,0
1995-01-16,9.230000,9.230000,9.230000,9.230000,3.064008,0
1995-01-17,9.230000,9.230000,9.230000,9.230000,3.064008,0
1995-01-18,9.220000,9.220000,9.220000,9.220000,3.060690,0
1995-01-19,9.210000,9.210000,9.210000,9.210000,3.057369,0
1995-01-20,9.180000,9.180000,9.180000,9.180000,3.047412,0
1995-01-23,9.180000,9.180000,9.180000,9.180000,3.047412,0
1995-01-24,9.170000,9.170000,9.170000,9.170000,3.044089,0
1995-01-25,9.200000,9.200000,9.200000,9.200000,3.054045,0
1995-01-26,9.220000,9.220000,9.220000,9.220000,3.060690,0
1995-01-27,9.270000,9.270000,9.270000,9.270000,3.077286,0
1995-01-30,9.270000,9.270000,9.270000,9.270000,3.077286,0
1995-01-31,9.290000,9.290000,9.290000,9.290000,3.101994,0
1995-02-01,9.260000,9.260000,9.260000,9.260000,3.091976,0
1995-02-02,9.250000,9.250000,9.250000,9.250000,3.088638,0
1995-02-03,9.340000,9.340000,9.340000,9.340000,3.118691,0
1995-02-06,9.320000,9.320000,9.320000,9.320000,3.112010,0
1995-02-07,9.320000,9.320000,9.320000,9.320000,3.112010,0
1995-02-08,9.320000,9.320000,9.320000,9.320000,3.112010,0
1995-02-09,9.300000,9.300000,9.300000,9.300000,3.105334,0
1995-02-10,9.280000,9.280000,9.280000,9.280000,3.098655,0
1995-02-13,9.280000,9.280000,9.280000,9.280000,3.098655,0
1995-02-14,9.320000,9.320000,9.320000,9.320000,3.112010,0
1995-02-15,9.350000,9.350000,9.350000,9.350000,3.122030,0
1995-02-16,9.370000,9.370000,9.370000,9.370000,3.128706,0
1995-02-17,9.360000,9.360000,9.360000,9.360000,3.125366,0
1995-02-21,9.350000,9.350000,9.350000,9.350000,3.122030,0
1995-02-22,9.400000,9.400000,9.400000,9.400000,3.138724,0
1995-02-23,9.400000,9.400000,9.400000,9.400000,3.138724,0
1995-02-24,9.400000,9.400000,9.400000,9.400000,3.138724,0
1995-02-27,9.440000,9.440000,9.440000,9.440000,3.152080,0
