Date,Open,High,Low,Close,Adj Close,Volume
2001-12-31,10.830000,10.830000,10.830000,10.830000,4.558135,0
2002-01-02,10.730000,10.730000,10.730000,10.730000,4.516049,0
2002-01-03,10.770000,10.770000,10.770000,10.770000,4.532884,0
2002-01-04,10.750000,10.750000,10.750000,10.750000,4.524466,0
2002-01-07,10.850000,10.850000,10.850000,10.850000,4.566553,0
2002-01-08,10.840000,10.840000,10.840000,10.840000,4.562348,0
2002-01-09,10.850000,10.850000,10.850000,10.850000,4.566553,0
2002-01-10,10.970000,10.970000,10.970000,10.970000,4.617061,0
2002-01-11,11.030000,11.030000,11.030000,11.030000,4.642315,0
2002-01-14,11.000000,11.000000,11.000000,11.000000,4.629687,0
2002-01-15,11.060000,11.060000,11.060000,11.060000,4.654941,0
2002-01-16,11.040000,11.040000,11.040000,11.040000,4.646523,0
2002-01-17,10.960000,10.960000,10.960000,10.960000,4.612850,0
2002-01-18,11.010000,11.010000,11.010000,11.010000,4.633895,0
2002-01-22,11.010000,11.010000,11.010000,11.010000,4.633895,0
2002-01-23,10.890000,10.890000,10.890000,10.890000,4.583390,0
2002-01-24,10.890000,10.890000,10.890000,10.890000,4.583390,0
2002-01-25,10.890000,10.890000,10.890000,10.890000,4.583390,0
2002-01-28,10.900000,10.900000,10.900000,10.900000,4.587597,0
2002-01-29,10.980000,10.980000,10.980000,10.980000,4.621269,0
2002-01-30,10.970000,10.970000,10.970000,10.970000,4.617061,0
2002-01-31,10.930000,10.930000,10.930000,10.930000,4.624253,0
2002-02-01,10.970000,10.970000,10.970000,10.970000,4.641176,0
2002-02-04,11.030000,11.030000,11.030000,11.030000,4.666559,0
2002-02-05,11.010000,11.010000,11.010000,11.010000,4.658097,0
2002-02-06,10.960000,10.960000,10.960000,10.960000,4.636944,0
2002-02-07,10.930000,10.930000,10.930000,10.930000,4.624253,0
2002-02-08,10.980000,10.980000,10.980000,10.980000,4.645405,0
2002-02-11,10.970000,10.970000,10.970000,10.970000,4.641176,0
2002-02-12,10.900000,10.900000,10.900000,10.900000,4.611559,0
2002-02-13,10.890000,10.890000,10.890000,10.890000,4.607331,0
2002-02-14,10.950000,10.950000,10.950000,10.950000,4.632714,0
2002-02-15,11.010000,11.010000,11.010000,11.010000,4.658097,0
2002-02-19,10.980000,10.980000,10.980000,10.980000,4.645405,0
2002-02-20,10.980000,10.980000,10.980000,10.980000,4.645405,0
2002-02-21,10.990000,10.990000,10.990000,10.990000,4.649640,0
2002-02-22,11.030000,11.030000,11.030000,11.030000,4.666559,0
2002-02-25,11.010000,11.010000,11.010000,11.010000,4.658097,0
2002-02-26,10.940000,10.940000,10.940000,10.940000,4.628480,0
2002-02-27,11.020000,11.020000,11.020000,11.020000,4.662329,0
2002-02-28,11.000000,11.000000,11.000000,11.000000,4.675929,0
2002-03-01,10.900000,10.900000,10.900000,10.900000,4.633421,0
2002-03-04,10.900000,10.900000,10.900000,10.900000,4.633421,0
2002-03-05,10.910000,10.910000,10.910000,10.910000,4.637674,0
2002-03-06,10.870000,10.870000,10.870000,10.870000,4.620670,0
2002-03-07,10.740000,10.740000,10.740000,10.740000,4.565409,0
2002-03-08,10.660000,10.660000,10.660000,10.660000,4.531402,0
2002-03-11,10.660000,10.660000,10.660000,10.660000,4.531402,0
2002-03-12,10.650000,10.650000,10.650000,10.650000,4.527151,0
2002-03-13,10.670000,10.670000,10.670000,10.670000,4.535654,0
2002-03-14,10.540000,10.540000,10.540000,10.540000,4.480392,0
2002-03-15,10.600000,10.600000,10.600000,10.600000,4.505895,0
2002-03-18,10.650000,10.650000,10.650000,10.650000,4.527151,0
2002-03-19,10.620000,10.620000,10.620000,10.620000,4.514400,0
2002-03-20,10.550000,10.550000,10.550000,10.550000,4.484643,0
2002-03-21,10.590000,10.590000,10.590000,10.590000,4.501646,0
2002-03-22,10.570000,10.570000,10.570000,10.570000,4.493145,0
2002-03-25,10.580000,10.580000,10.580000,10.580000,4.497396,0
2002-03-26,10.640000,10.640000,10.640000,10.640000,4.522901,0
2002-03-27,10.640000,10.640000,10.640000,10.640000,4.522901,0
2002-03-28,10.560000,10.560000,10.560000,10.560000,4.513928,0
2002-04-01,10.580000,10.580000,10.580000,10.580000,4.522474,0
2002-04-02,10.650000,10.650000,10.650000,10.650000,4.552395,0
2002-04-03,10.710000,10.710000,10.710000,10.710000,4.578041,0
2002-04-04,10.720000,10.720000,10.720000,10.720000,4.582317,0
2002-04-05,10.760000,10.760000,10.760000,10.760000,4.599417,0
2002-04-08,10.720000,10.720000,10.720000,10.720000,4.582317,0
2002-04-09,10.750000,10.750000,10.750000,10.750000,4.595142,0
2002-04-10,10.730000,10.730000,10.730000,10.730000,4.586593,0
2002-04-11,10.750000,10.750000,10.750000,10.750000,4.595142,0
2002-04-12,10.770000,10.770000,10.770000,10.770000,4.603691,0
2002-04-15,10.790000,10.790000,10.790000,10.790000,4.612238,0
2002-04-16,10.750000,10.750000,10.750000,10.750000,4.595142,0
2002-04-17,10.690000,10.690000,10.690000,10.690000,4.569496,0
2002-04-18,10.720000,10.720000,10.720000,10.720000,4.582317,0
2002-04-19,10.750000,10.750000,10.750000,10.750000,4.595142,0
2002-04-22,10.750000,10.750000,10.750000,10.750000,4.595142,0
2002-04-23,10.750000,10.750000,10.750000,10.750000,4.595142,0
2002-04-24,10.810000,10.810000,10.810000,10.810000,4.620786,0
2002-04-25,10.820000,10.820000,10.820000,10.820000,4.625063,0
2002-04-26,10.840000,10.840000,10.840000,10.840000,4.633611,0
2002-04-29,10.800000,10.800000,10.800000,10.800000,4.616517,0
2002-04-30,10.820000,10.820000,10.820000,10.820000,4.647442,0
2002-05-01,10.840000,10.840000,10.840000,10.840000,4.656029,0
2002-05-02,10.790000,10.790000,10.790000,10.790000,4.634552,0
2002-05-03,10.840000,10.840000,10.840000,10.840000,4.656029,0
2002-05-06,10.830000,10.830000,10.830000,10.830000,4.651732,0
2002-05-07,10.820000,10.820000,10.820000,10.820000,4.647442,0
2002-05-08,10.700000,10.700000,10.700000,10.700000,4.595899,0
2002-05-09,10.730000,10.730000,10.730000,10.730000,4.608785,0
2002-05-10,10.770000,10.770000,10.770000,10.770000,4.625963,0
2002-05-13,10.680000,10.680000,10.680000,10.680000,4.587306,0
2002-05-14,10.590000,10.590000,10.590000,10.590000,4.548650,0
2002-05-15,10.620000,10.620000,10.620000,10.620000,4.561536,0
2002-05-16,10.660000,10.660000,10.660000,10.660000,4.578712,0
2002-05-17,10.600000,10.600000,10.600000,10.600000,4.552945,0
2002-05-20,10.660000,10.660000,10.660000,10.660000,4.578712,0
2002-05-21,10.710000,10.710000,10.710000,10.710000,4.600191,0
2002-05-22,10.750000,10.750000,10.750000,10.750000,4.617373,0
2002-05-23,10.720000,10.720000,10.720000,10.720000,4.604488,0
2002-05-24,10.720000,10.720000,10.720000,10.720000,4.604488,0
2002-05-28,10.730000,10.730000,10.730000,10.730000,4.608785,0
2002-05-29,10.790000,10.790000,10.790000,10.790000,4.634552,0
2002-05-30,10.830000,10.830000,10.830000,10.830000,4.651732,0
2002-05-31,10.820000,10.820000,10.820000,10.820000,4.670728,0
2002-06-03,10.820000,10.820000,10.820000,10.820000,4.670728,0
2002-06-04,10.820000,10.820000,10.820000,10.820000,4.670728,0
2002-06-05,10.780000,10.780000,10.780000,10.780000,4.653462,0
2002-06-06,10.810000,10.810000,10.810000,10.810000,4.666415,0
2002-06-07,10.760000,10.760000,10.760000,10.760000,4.644831,0
2002-06-10,10.790000,10.790000,10.790000,10.790000,4.657780,0
2002-06-11,10.840000,10.840000,10.840000,10.840000,4.679367,0
2002-06-12,10.870000,10.870000,10.870000,10.870000,4.692313,0
2002-06-13,10.900000,10.900000,10.900000,10.900000,4.705264,0
2002-06-14,11.000000,11.000000,11.000000,11.000000,4.748432,0
2002-06-17,10.920000,10.920000,10.920000,10.920000,4.713896,0
2002-06-18,10.940000,10.940000,10.940000,10.940000,4.722528,0
2002-06-19,11.020000,11.020000,11.020000,11.020000,4.757063,0
2002-06-20,10.920000,10.920000,10.920000,10.920000,4.713896,0
2002-06-21,10.990000,10.990000,10.990000,10.990000,4.744112,0
2002-06-24,10.900000,10.900000,10.900000,10.900000,4.705264,0
2002-06-25,10.900000,10.900000,10.900000,10.900000,4.705264,0
2002-06-26,10.930000,10.930000,10.930000,10.930000,4.718216,0
2002-06-27,10.800000,10.800000,10.800000,10.800000,4.662093,0
2002-06-28,10.780000,10.780000,10.780000,10.780000,4.677716,0
2002-07-01,10.790000,10.790000,10.790000,10.790000,4.682056,0
2002-07-02,10.830000,10.830000,10.830000,10.830000,4.699411,0
2002-07-03,10.820000,10.820000,10.820000,10.820000,4.695072,0
2002-07-05,10.720000,10.720000,10.720000,10.720000,4.651684,0
2002-07-08,10.760000,10.760000,10.760000,10.760000,4.669041,0
2002-07-09,10.840000,10.840000,10.840000,10.840000,4.703756,0
2002-07-10,10.930000,10.930000,10.930000,10.930000,4.742806,0
2002-07-11,10.930000,10.930000,10.930000,10.930000,4.742806,0
2002-07-12,10.940000,10.940000,10.940000,10.940000,4.747143,0
2002-07-15,10.890000,10.890000,10.890000,10.890000,4.725449,0
2002-07-16,10.800000,10.800000,10.800000,10.800000,4.686398,0
2002-07-17,10.840000,10.840000,10.840000,10.840000,4.703756,0
2002-07-18,10.860000,10.860000,10.860000,10.860000,4.712433,0
2002-07-19,10.900000,10.900000,10.900000,10.900000,4.729787,0
2002-07-22,10.970000,10.970000,10.970000,10.970000,4.760159,0
2002-07-23,10.960000,10.960000,10.960000,10.960000,4.755825,0
2002-07-24,10.870000,10.870000,10.870000,10.870000,4.716769,0
2002-07-25,10.910000,10.910000,10.910000,10.910000,4.734128,0
2002-07-26,10.880000,10.880000,10.880000,10.880000,4.721109,0
2002-07-29,10.760000,10.760000,10.760000,10.760000,4.669041,0
2002-07-30,10.760000,10.760000,10.760000,10.760000,4.669041,0
2002-07-31,10.870000,10.870000,10.870000,10.870000,4.741001,0
2002-08-01,10.900000,10.900000,10.900000,10.900000,4.754090,0
2002-08-02,11.000000,11.000000,11.000000,11.000000,4.797706,0
2002-08-05,10.990000,10.990000,10.990000,10.990000,4.793344,0
2002-08-06,10.900000,10.900000,10.900000,10.900000,4.754090,0
2002-08-07,10.960000,10.960000,10.960000,10.960000,4.780258,0
2002-08-08,10.920000,10.920000,10.920000,10.920000,4.762814,0
2002-08-09,11.060000,11.060000,11.060000,11.060000,4.823873,0
2002-08-12,11.110000,11.110000,11.110000,11.110000,4.845682,0
2002-08-13,11.190000,11.190000,11.190000,11.190000,4.880573,0
2002-08-14,11.280000,11.280000,11.280000,11.280000,4.919828,0
2002-08-15,11.180000,11.180000,11.180000,11.180000,4.876211,0
2002-08-16,11.060000,11.060000,11.060000,11.060000,4.823873,0
2002-08-19,11.100000,11.100000,11.100000,11.100000,4.841320,0
2002-08-20,11.220000,11.220000,11.220000,11.220000,4.893660,0
2002-08-21,11.220000,11.220000,11.220000,11.220000,4.893660,0
2002-08-22,11.130000,11.130000,11.130000,11.130000,4.854403,0
2002-08-23,11.210000,11.210000,11.210000,11.210000,4.889297,0
2002-08-26,11.240000,11.240000,11.240000,11.240000,4.902382,0
2002-08-27,11.160000,11.160000,11.160000,11.160000,4.867486,0
2002-08-28,11.230000,11.230000,11.230000,11.230000,4.898020,0
2002-08-29,11.280000,11.280000,11.280000,11.280000,4.919828,0
2002-08-30,11.310000,11.310000,11.310000,11.310000,4.956638,0
2002-09-03,11.450000,11.450000,11.450000,11.450000,5.017997,0
2002-09-04,11.470000,11.470000,11.470000,11.470000,5.026756,0
2002-09-05,11.490000,11.490000,11.490000,11.490000,5.035527,0
2002-09-06,11.360000,11.360000,11.360000,11.360000,4.978551,0
2002-09-09,11.370000,11.370000,11.370000,11.370000,4.982939,0
2002-09-10,11.420000,11.420000,11.420000,11.420000,5.004849,0
2002-09-11,11.360000,11.360000,11.360000,11.360000,4.978551,0
2002-09-12,11.450000,11.450000,11.450000,11.450000,5.017997,0
2002-09-13,11.520000,11.520000,11.520000,11.520000,5.048676,0
2002-09-16,11.550000,11.550000,11.550000,11.550000,5.061820,0
2002-09-17,11.580000,11.580000,11.580000,11.580000,5.074970,0
2002-09-18,11.560000,11.560000,11.560000,11.560000,5.066202,0
2002-09-19,11.610000,11.610000,11.610000,11.610000,5.088114,0
2002-09-20,11.580000,11.580000,11.580000,11.580000,5.074970,0
2002-09-23,11.650000,11.650000,11.650000,11.650000,5.105645,0
2002-09-24,11.660000,11.660000,11.660000,11.660000,5.110028,0
2002-09-25,11.540000,11.540000,11.540000,11.540000,5.057436,0
2002-09-26,11.540000,11.540000,11.540000,11.540000,5.057436,0
2002-09-27,11.590000,11.590000,11.590000,11.590000,5.079350,0
2002-09-30,11.630000,11.630000,11.630000,11.630000,5.119853,0
2002-10-01,11.550000,11.550000,11.550000,11.550000,5.084633,0
2002-10-02,11.570000,11.570000,11.570000,11.570000,5.093441,0
2002-10-03,11.550000,11.550000,11.550000,11.550000,5.084633,0
2002-10-04,11.560000,11.560000,11.560000,11.560000,5.089034,0
2002-10-07,11.570000,11.570000,11.570000,11.570000,5.093441,0
2002-10-08,11.540000,11.540000,11.540000,11.540000,5.080231,0
2002-10-09,11.590000,11.590000,11.590000,11.590000,5.102244,0
2002-10-10,11.500000,11.500000,11.500000,11.500000,5.062620,0
2002-10-11,11.380000,11.380000,11.380000,11.380000,5.009795,0
2002-10-14,11.390000,11.390000,11.390000,11.390000,5.014196,0
2002-10-15,11.210000,11.210000,11.210000,11.210000,4.934956,0
2002-10-16,11.160000,11.160000,11.160000,11.160000,4.912943,0
2002-10-17,11.070000,11.070000,11.070000,11.070000,4.873325,0
2002-10-18,11.070000,11.070000,11.070000,11.070000,4.873325,0
2002-10-21,11.020000,11.020000,11.020000,11.020000,4.851313,0
2002-10-22,10.990000,10.990000,10.990000,10.990000,4.838108,0
2002-10-23,10.990000,10.990000,10.990000,10.990000,4.838108,0
2002-10-24,11.060000,11.060000,11.060000,11.060000,4.868921,0
2002-10-25,11.110000,11.110000,11.110000,11.110000,4.890933,0
2002-10-28,11.110000,11.110000,11.110000,11.110000,4.890933,0
2002-10-29,11.240000,11.240000,11.240000,11.240000,4.948165,0
2002-10-30,11.220000,11.220000,11.220000,11.220000,4.939360,0
2002-10-31,11.270000,11.270000,11.270000,11.270000,4.984919,0
2002-11-01,11.240000,11.240000,11.240000,11.240000,4.971651,0
2002-11-04,11.200000,11.200000,11.200000,11.200000,4.953953,0
2002-11-05,11.180000,11.180000,11.180000,11.180000,4.945110,0
2002-11-06,11.240000,11.240000,11.240000,11.240000,4.971651,0
2002-11-07,11.440000,11.440000,11.440000,11.440000,5.060111,0
2002-11-08,11.530000,11.530000,11.530000,11.530000,5.099920,0
2002-11-11,11.530000,11.530000,11.530000,11.530000,5.099920,0
2002-11-12,11.520000,11.520000,11.520000,11.520000,5.095498,0
2002-11-13,11.540000,11.540000,11.540000,11.540000,5.104344,0
2002-11-14,11.370000,11.370000,11.370000,11.370000,5.029152,0
2002-11-15,11.380000,11.380000,11.380000,11.380000,5.033575,0
2002-11-18,11.430000,11.430000,11.430000,11.430000,5.055688,0
2002-11-19,11.490000,11.490000,11.490000,11.490000,5.082226,0
