Date,Open,High,Low,Close,Adj Close,Volume
2001-12-31,8.370000,8.370000,8.370000,8.370000,5.790534,0
2002-01-02,8.520000,8.520000,8.520000,8.520000,5.894307,0
2002-01-03,8.660000,8.660000,8.660000,8.660000,5.991162,0
2002-01-04,8.770000,8.770000,8.770000,8.770000,6.067263,0
2002-01-07,8.880000,8.880000,8.880000,8.880000,6.143363,0
2002-01-08,8.810000,8.810000,8.810000,8.810000,6.094936,0
2002-01-09,8.830000,8.830000,8.830000,8.830000,6.108771,0
2002-01-10,8.680000,8.680000,8.680000,8.680000,6.004999,0
2002-01-11,8.610000,8.610000,8.610000,8.610000,5.956571,0
2002-01-14,8.590000,8.590000,8.590000,8.590000,5.942737,0
2002-01-15,8.490000,8.490000,8.490000,8.490000,5.873553,0
2002-01-16,8.380000,8.380000,8.380000,8.380000,5.797453,0
2002-01-17,8.430000,8.430000,8.430000,8.430000,5.832045,0
2002-01-18,8.420000,8.420000,8.420000,8.420000,5.825127,0
2002-01-22,8.460000,8.460000,8.460000,8.460000,5.852800,0
2002-01-23,8.550000,8.550000,8.550000,8.550000,5.915063,0
2002-01-24,8.620000,8.620000,8.620000,8.620000,5.963490,0
2002-01-25,8.670000,8.670000,8.670000,8.670000,5.998079,0
2002-01-28,8.700000,8.700000,8.700000,8.700000,6.018836,0
2002-01-29,8.630000,8.630000,8.630000,8.630000,5.970408,0
2002-01-30,8.500000,8.500000,8.500000,8.500000,5.880471,0
2002-01-31,8.610000,8.610000,8.610000,8.610000,5.956571,0
2002-02-01,8.600000,8.600000,8.600000,8.600000,5.949653,0
2002-02-04,8.550000,8.550000,8.550000,8.550000,5.915063,0
2002-02-05,8.560000,8.560000,8.560000,8.560000,5.921980,0
2002-02-06,8.590000,8.590000,8.590000,8.590000,5.942737,0
2002-02-07,8.510000,8.510000,8.510000,8.510000,5.887390,0
2002-02-08,8.520000,8.520000,8.520000,8.520000,5.894307,0
2002-02-11,8.580000,8.580000,8.580000,8.580000,5.935817,0
2002-02-12,8.550000,8.550000,8.550000,8.550000,5.915063,0
2002-02-13,8.700000,8.700000,8.700000,8.700000,6.018836,0
2002-02-14,8.910000,8.910000,8.910000,8.910000,6.164118,0
2002-02-15,8.890000,8.890000,8.890000,8.890000,6.150281,0
2002-02-19,8.690000,8.690000,8.690000,8.690000,6.011918,0
2002-02-20,8.610000,8.610000,8.610000,8.610000,5.956571,0
2002-02-21,8.600000,8.600000,8.600000,8.600000,5.949653,0
2002-02-22,8.580000,8.580000,8.580000,8.580000,5.935817,0
2002-02-25,8.670000,8.670000,8.670000,8.670000,5.998079,0
2002-02-26,8.650000,8.650000,8.650000,8.650000,5.984243,0
2002-02-27,8.870000,8.870000,8.870000,8.870000,6.136444,0
2002-02-28,8.840000,8.840000,8.840000,8.840000,6.115691,0
2002-03-01,8.950000,8.950000,8.950000,8.950000,6.191791,0
2002-03-04,9.170000,9.170000,9.170000,9.170000,6.343992,0
2002-03-05,9.110000,9.110000,9.110000,9.110000,6.302482,0
2002-03-06,9.230000,9.230000,9.230000,9.230000,6.385501,0
2002-03-07,9.110000,9.110000,9.110000,9.110000,6.302482,0
2002-03-08,9.090000,9.090000,9.090000,9.090000,6.288646,0
2002-03-11,9.170000,9.170000,9.170000,9.170000,6.343992,0
2002-03-12,9.170000,9.170000,9.170000,9.170000,6.343992,0
2002-03-13,9.130000,9.130000,9.130000,9.130000,6.316318,0
2002-03-14,9.130000,9.130000,9.130000,9.130000,6.316318,0
2002-03-15,9.080000,9.080000,9.080000,9.080000,6.281726,0
2002-03-18,9.140000,9.140000,9.140000,9.140000,6.323237,0
2002-03-19,9.180000,9.180000,9.180000,9.180000,6.350910,0
2002-03-20,9.200000,9.200000,9.200000,9.200000,6.364746,0
2002-03-21,9.190000,9.190000,9.190000,9.190000,6.357828,0
2002-03-22,9.230000,9.230000,9.230000,9.230000,6.385501,0
2002-03-25,9.170000,9.170000,9.170000,9.170000,6.343992,0
2002-03-26,9.190000,9.190000,9.190000,9.190000,6.357828,0
2002-03-27,9.230000,9.230000,9.230000,9.230000,6.385501,0
2002-03-28,9.240000,9.240000,9.240000,9.240000,6.392419,0
2002-04-01,9.220000,9.220000,9.220000,9.220000,6.378583,0
2002-04-02,9.330000,9.330000,9.330000,9.330000,6.454683,0
2002-04-03,9.330000,9.330000,9.330000,9.330000,6.454683,0
2002-04-04,9.290000,9.290000,9.290000,9.290000,6.427010,0
2002-04-05,9.350000,9.350000,9.350000,9.350000,6.468517,0
2002-04-08,9.270000,9.270000,9.270000,9.270000,6.413174,0
2002-04-09,9.210000,9.210000,9.210000,9.210000,6.371664,0
2002-04-10,9.210000,9.210000,9.210000,9.210000,6.371664,0
2002-04-11,9.220000,9.220000,9.220000,9.220000,6.378583,0
2002-04-12,9.260000,9.260000,9.260000,9.260000,6.406256,0
2002-04-15,9.320000,9.320000,9.320000,9.320000,6.447763,0
2002-04-16,9.450000,9.450000,9.450000,9.450000,6.537701,0
2002-04-17,9.650000,9.650000,9.650000,9.650000,6.676064,0
2002-04-18,9.580000,9.580000,9.580000,9.580000,6.627637,0
2002-04-19,9.570000,9.570000,9.570000,9.570000,6.620718,0
2002-04-22,9.570000,9.570000,9.570000,9.570000,6.620718,0
2002-04-23,9.560000,9.560000,9.560000,9.560000,6.613802,0
2002-04-24,9.550000,9.550000,9.550000,9.550000,6.606885,0
2002-04-25,9.420000,9.420000,9.420000,9.420000,6.516946,0
2002-04-26,9.410000,9.410000,9.410000,9.410000,6.510028,0
2002-04-29,9.290000,9.290000,9.290000,9.290000,6.427010,0
2002-04-30,9.270000,9.270000,9.270000,9.270000,6.413174,0
2002-05-01,9.330000,9.330000,9.330000,9.330000,6.454683,0
2002-05-02,9.260000,9.260000,9.260000,9.260000,6.406256,0
2002-05-03,9.260000,9.260000,9.260000,9.260000,6.406256,0
2002-05-06,9.100000,9.100000,9.100000,9.100000,6.295563,0
2002-05-07,9.220000,9.220000,9.220000,9.220000,6.378583,0
2002-05-08,9.440000,9.440000,9.440000,9.440000,6.530783,0
2002-05-09,9.260000,9.260000,9.260000,9.260000,6.406256,0
2002-05-10,9.200000,9.200000,9.200000,9.200000,6.364746,0
2002-05-13,9.240000,9.240000,9.240000,9.240000,6.392419,0
2002-05-14,9.330000,9.330000,9.330000,9.330000,6.454683,0
2002-05-15,9.400000,9.400000,9.400000,9.400000,6.503109,0
2002-05-16,9.410000,9.410000,9.410000,9.410000,6.510028,0
2002-05-17,9.500000,9.500000,9.500000,9.500000,6.572291,0
2002-05-20,9.430000,9.430000,9.430000,9.430000,6.523865,0
2002-05-21,9.320000,9.320000,9.320000,9.320000,6.447763,0
2002-05-22,9.400000,9.400000,9.400000,9.400000,6.503109,0
2002-05-23,9.340000,9.340000,9.340000,9.340000,6.461601,0
2002-05-24,9.440000,9.440000,9.440000,9.440000,6.530783,0
2002-05-28,9.430000,9.430000,9.430000,9.430000,6.523865,0
2002-05-29,9.370000,9.370000,9.370000,9.370000,6.482356,0
2002-05-30,9.330000,9.330000,9.330000,9.330000,6.454683,0
2002-05-31,9.230000,9.230000,9.230000,9.230000,6.385501,0
2002-06-03,9.260000,9.260000,9.260000,9.260000,6.406256,0
2002-06-04,9.260000,9.260000,9.260000,9.260000,6.406256,0
2002-06-05,9.190000,9.190000,9.190000,9.190000,6.357828,0
2002-06-06,9.090000,9.090000,9.090000,9.090000,6.288646,0
2002-06-07,9.000000,9.000000,9.000000,9.000000,6.226382,0
2002-06-10,9.060000,9.060000,9.060000,9.060000,6.267891,0
2002-06-11,8.990000,8.990000,8.990000,8.990000,6.219463,0
2002-06-12,8.940000,8.940000,8.940000,8.940000,6.184872,0
2002-06-13,8.950000,8.950000,8.950000,8.950000,6.191791,0
2002-06-14,8.860000,8.860000,8.860000,8.860000,6.129527,0
2002-06-17,8.830000,8.830000,8.830000,8.830000,6.108771,0
2002-06-18,8.890000,8.890000,8.890000,8.890000,6.150281,0
2002-06-19,8.700000,8.700000,8.700000,8.700000,6.018836,0
2002-06-20,8.630000,8.630000,8.630000,8.630000,5.970408,0
2002-06-21,8.560000,8.560000,8.560000,8.560000,5.921980,0
2002-06-24,8.520000,8.520000,8.520000,8.520000,5.894307,0
2002-06-25,8.500000,8.500000,8.500000,8.500000,5.880471,0
2002-06-26,8.210000,8.210000,8.210000,8.210000,5.679845,0
2002-06-27,8.300000,8.300000,8.300000,8.300000,5.742107,0
2002-06-28,8.470000,8.470000,8.470000,8.470000,5.859719,0
2002-07-01,8.420000,8.420000,8.420000,8.420000,5.825127,0
2002-07-02,8.320000,8.320000,8.320000,8.320000,5.755943,0
2002-07-03,8.370000,8.370000,8.370000,8.370000,5.790534,0
2002-07-05,8.570000,8.570000,8.570000,8.570000,5.928899,0
2002-07-08,8.650000,8.650000,8.650000,8.650000,5.984243,0
2002-07-09,8.730000,8.730000,8.730000,8.730000,6.039589,0
2002-07-10,8.590000,8.590000,8.590000,8.590000,5.942737,0
2002-07-11,8.460000,8.460000,8.460000,8.460000,5.852800,0
2002-07-12,8.650000,8.650000,8.650000,8.650000,5.984243,0
2002-07-15,8.610000,8.610000,8.610000,8.610000,5.956571,0
2002-07-16,8.550000,8.550000,8.550000,8.550000,5.915063,0
2002-07-17,8.580000,8.580000,8.580000,8.580000,5.935817,0
2002-07-18,8.620000,8.620000,8.620000,8.620000,5.963490,0
2002-07-19,8.430000,8.430000,8.430000,8.430000,5.832045,0
2002-07-22,8.210000,8.210000,8.210000,8.210000,5.679845,0
2002-07-23,8.120000,8.120000,8.120000,8.120000,5.617579,0
2002-07-24,8.050000,8.050000,8.050000,8.050000,5.569154,0
2002-07-25,7.900000,7.900000,7.900000,7.900000,5.465381,0
2002-07-26,7.680000,7.680000,7.680000,7.680000,5.313178,0
2002-07-29,7.770000,7.770000,7.770000,7.770000,5.375443,0
2002-07-30,7.860000,7.860000,7.860000,7.860000,5.437706,0
2002-07-31,7.750000,7.750000,7.750000,7.750000,5.361607,0
2002-08-01,7.670000,7.670000,7.670000,7.670000,5.306261,0
2002-08-02,7.710000,7.710000,7.710000,7.710000,5.333933,0
2002-08-05,7.340000,7.340000,7.340000,7.340000,5.077959,0
2002-08-06,7.420000,7.420000,7.420000,7.420000,5.133307,0
2002-08-07,7.580000,7.580000,7.580000,7.580000,5.243997,0
2002-08-08,7.750000,7.750000,7.750000,7.750000,5.361607,0
2002-08-09,7.720000,7.720000,7.720000,7.720000,5.340851,0
2002-08-12,7.700000,7.700000,7.700000,7.700000,5.327014,0
2002-08-13,7.670000,7.670000,7.670000,7.670000,5.306261,0
2002-08-14,7.750000,7.750000,7.750000,7.750000,5.361607,0
2002-08-15,7.790000,7.790000,7.790000,7.790000,5.389279,0
2002-08-16,7.830000,7.830000,7.830000,7.830000,5.416952,0
2002-08-19,7.830000,7.830000,7.830000,7.830000,5.416952,0
2002-08-20,7.860000,7.860000,7.860000,7.860000,5.437706,0
2002-08-21,7.920000,7.920000,7.920000,7.920000,5.479216,0
2002-08-22,7.940000,7.940000,7.940000,7.940000,5.493053,0
2002-08-23,7.910000,7.910000,7.910000,7.910000,5.472298,0
2002-08-26,7.910000,7.910000,7.910000,7.910000,5.472298,0
2002-08-27,7.910000,7.910000,7.910000,7.910000,5.472298,0
2002-08-28,7.830000,7.830000,7.830000,7.830000,5.416952,0
2002-08-29,7.800000,7.800000,7.800000,7.800000,5.396198,0
2002-08-30,7.860000,7.860000,7.860000,7.860000,5.437706,0
2002-09-03,7.610000,7.610000,7.610000,7.610000,5.264751,0
2002-09-04,7.640000,7.640000,7.640000,7.640000,5.285507,0
2002-09-05,7.560000,7.560000,7.560000,7.560000,5.230161,0
2002-09-06,7.590000,7.590000,7.590000,7.590000,5.250915,0
2002-09-09,7.660000,7.660000,7.660000,7.660000,5.299343,0
2002-09-10,7.800000,7.800000,7.800000,7.800000,5.396198,0
2002-09-11,7.840000,7.840000,7.840000,7.840000,5.423870,0
2002-09-12,7.810000,7.810000,7.810000,7.810000,5.403115,0
2002-09-13,7.710000,7.710000,7.710000,7.710000,5.333933,0
2002-09-16,7.560000,7.560000,7.560000,7.560000,5.230161,0
2002-09-17,7.640000,7.640000,7.640000,7.640000,5.285507,0
2002-09-18,7.490000,7.490000,7.490000,7.490000,5.181733,0
2002-09-19,7.420000,7.420000,7.420000,7.420000,5.133307,0
2002-09-20,7.380000,7.380000,7.380000,7.380000,5.105632,0
2002-09-23,7.220000,7.220000,7.220000,7.220000,4.994940,0
2002-09-24,7.130000,7.130000,7.130000,7.130000,4.932678,0
2002-09-25,7.120000,7.120000,7.120000,7.120000,4.925760,0
2002-09-26,7.160000,7.160000,7.160000,7.160000,4.953432,0
2002-09-27,7.110000,7.110000,7.110000,7.110000,4.918840,0
2002-09-30,7.020000,7.020000,7.020000,7.020000,4.856577,0
2002-10-01,7.120000,7.120000,7.120000,7.120000,4.925760,0
2002-10-02,7.090000,7.090000,7.090000,7.090000,4.905006,0
2002-10-03,7.050000,7.050000,7.050000,7.050000,4.877334,0
2002-10-04,7.050000,7.050000,7.050000,7.050000,4.877334,0
2002-10-07,6.860000,6.860000,6.860000,6.860000,4.745887,0
2002-10-08,6.890000,6.890000,6.890000,6.890000,4.766640,0
2002-10-09,6.800000,6.800000,6.800000,6.800000,4.704376,0
2002-10-10,6.720000,6.720000,6.720000,6.720000,4.649031,0
2002-10-11,6.790000,6.790000,6.790000,6.790000,4.697458,0
2002-10-14,6.790000,6.790000,6.790000,6.790000,4.697458,0
2002-10-15,7.060000,7.060000,7.060000,7.060000,4.884250,0
2002-10-16,7.050000,7.050000,7.050000,7.050000,4.877334,0
2002-10-17,7.210000,7.210000,7.210000,7.210000,4.988023,0
2002-10-18,7.290000,7.290000,7.290000,7.290000,5.043368,0
2002-10-21,7.290000,7.290000,7.290000,7.290000,5.043368,0
2002-10-22,7.240000,7.240000,7.240000,7.240000,5.008779,0
2002-10-23,7.430000,7.430000,7.430000,7.430000,5.140224,0
2002-10-24,7.430000,7.430000,7.430000,7.430000,5.140224,0
2002-10-25,7.440000,7.440000,7.440000,7.440000,5.147142,0
2002-10-28,7.500000,7.500000,7.500000,7.500000,5.188650,0
